"date","interval","date_rep","ntested_influenza","source","file","pathogen","npos","isoweek","week","year","doy","time"
2010-01-08,"weekly",2010-01-29,255,"influenza surveillance reports","2010-01","RSV",9,1,2,2010,8,0
2010-01-15,"weekly",2010-01-29,213,"influenza surveillance reports","2010-01","RSV",15,2,3,2010,15,7
2010-01-22,"weekly",2010-01-29,176,"influenza surveillance reports","2010-01","RSV",12,3,4,2010,22,14
2010-01-29,"weekly",2010-01-29,171,"influenza surveillance reports","2010-01","RSV",16,4,5,2010,29,21
2010-02-05,"weekly",2010-02-26,208,"influenza surveillance reports","2010-02","RSV",16,5,6,2010,36,28
2010-02-12,"weekly",2010-02-26,260,"influenza surveillance reports","2010-02","RSV",12,6,7,2010,43,35
2010-02-19,"weekly",2010-02-26,312,"influenza surveillance reports","2010-02","RSV",15,7,8,2010,50,42
2010-02-26,"weekly",2010-02-26,291,"influenza surveillance reports","2010-02","RSV",18,8,9,2010,57,49
2010-03-05,"weekly",2010-03-26,407,"influenza surveillance reports","2010-03","RSV",24,9,10,2010,64,56
2010-03-12,"weekly",2010-03-26,319,"influenza surveillance reports","2010-03","RSV",24,10,11,2010,71,63
2010-03-19,"weekly",2010-03-26,369,"influenza surveillance reports","2010-03","RSV",33,11,12,2010,78,70
2010-03-26,"weekly",2010-03-26,361,"influenza surveillance reports","2010-03","RSV",32,12,13,2010,85,77
2010-04-02,"weekly",2010-04-30,307,"influenza surveillance reports","2010-04","RSV",28,13,14,2010,92,84
2010-04-09,"weekly",2010-04-30,307,"influenza surveillance reports","2010-04","RSV",38,14,15,2010,99,91
2010-04-16,"weekly",2010-04-30,369,"influenza surveillance reports","2010-04","RSV",66,15,16,2010,106,98
2010-04-23,"weekly",2010-04-30,392,"influenza surveillance reports","2010-04","RSV",52,16,17,2010,113,105
2010-04-30,"weekly",2010-04-30,367,"influenza surveillance reports","2010-04","RSV",60,17,18,2010,120,112
2010-05-07,"weekly",2010-05-28,392,"influenza surveillance reports","2010-05","RSV",57,18,19,2010,127,119
2010-05-14,"weekly",2010-05-28,498,"influenza surveillance reports","2010-05","RSV",72,19,20,2010,134,126
2010-05-21,"weekly",2010-05-28,537,"influenza surveillance reports","2010-05","RSV",92,20,21,2010,141,133
2010-05-28,"weekly",2010-05-28,518,"influenza surveillance reports","2010-05","RSV",83,21,22,2010,148,140
2010-06-04,"weekly",2010-06-25,523,"influenza surveillance reports","2010-06","RSV",92,22,23,2010,155,147
2010-06-11,"weekly",2010-06-25,557,"influenza surveillance reports","2010-06","RSV",133,23,24,2010,162,154
2010-06-18,"weekly",2010-06-25,549,"influenza surveillance reports","2010-06","RSV",150,24,25,2010,169,161
2010-06-25,"weekly",2010-06-25,655,"influenza surveillance reports","2010-06","RSV",140,25,26,2010,176,168
2010-07-02,"weekly",2010-07-31,600,"influenza surveillance reports","2010-07","RSV",132,26,27,2010,183,175
2010-07-09,"weekly",2010-07-31,679,"influenza surveillance reports","2010-07","RSV",148,27,28,2010,190,182
2010-07-16,"weekly",2010-07-31,751,"influenza surveillance reports","2010-07","RSV",129,28,29,2010,197,189
2010-07-23,"weekly",2010-07-31,687,"influenza surveillance reports","2010-07","RSV",96,29,30,2010,204,196
2010-07-30,"weekly",2010-07-31,672,"influenza surveillance reports","2010-07","RSV",104,30,31,2010,211,203
2010-08-06,"weekly",2010-08-27,800,"influenza surveillance reports","2010-08","RSV",83,31,32,2010,218,210
2010-08-13,"weekly",2010-08-27,685,"influenza surveillance reports","2010-08","RSV",55,32,33,2010,225,217
2010-08-20,"weekly",2010-08-27,937,"influenza surveillance reports","2010-08","RSV",47,33,34,2010,232,224
2010-08-27,"weekly",2010-08-27,870,"influenza surveillance reports","2010-08","RSV",37,34,35,2010,239,231
2010-09-03,"weekly",2010-10-01,911,"influenza surveillance reports","2010-09","RSV",48,35,36,2010,246,238
2010-09-10,"weekly",2010-10-01,1020,"influenza surveillance reports","2010-09","RSV",36,36,37,2010,253,245
2010-09-17,"weekly",2010-10-01,1008,"influenza surveillance reports","2010-09","RSV",33,37,38,2010,260,252
2010-09-24,"weekly",2010-10-01,1011,"influenza surveillance reports","2010-09","RSV",26,38,39,2010,267,259
2010-10-01,"weekly",2010-10-01,965,"influenza surveillance reports","2010-09","RSV",33,39,40,2010,274,266
2010-10-08,"weekly",2010-10-29,822,"influenza surveillance reports","2010-10","RSV",17,40,41,2010,281,273
2010-10-15,"weekly",2010-10-29,852,"influenza surveillance reports","2010-10","RSV",18,41,42,2010,288,280
2010-10-22,"weekly",2010-10-29,768,"influenza surveillance reports","2010-10","RSV",12,42,43,2010,295,287
2010-10-29,"weekly",2010-10-29,684,"influenza surveillance reports","2010-10","RSV",3,43,44,2010,302,294
2010-11-05,"weekly",2010-11-29,672,"influenza surveillance reports","2010-11","RSV",11,44,45,2010,309,301
2010-11-12,"weekly",2010-11-29,726,"influenza surveillance reports","2010-11","RSV",6,45,46,2010,316,308
2010-11-19,"weekly",2010-11-29,619,"influenza surveillance reports","2010-11","RSV",3,46,47,2010,323,315
2010-11-26,"weekly",2010-11-29,518,"influenza surveillance reports","2010-11","RSV",5,47,48,2010,330,322
2010-12-03,"weekly",2010-12-31,528,"influenza surveillance reports","2010-12","RSV",5,48,49,2010,337,329
2010-12-10,"weekly",2010-12-31,528,"influenza surveillance reports","2010-12","RSV",8,49,50,2010,344,336
2010-12-17,"weekly",2010-12-31,599,"influenza surveillance reports","2010-12","RSV",5,50,51,2010,351,343
2010-12-24,"weekly",2010-12-31,384,"influenza surveillance reports","2010-12","RSV",5,51,52,2010,358,350
2010-12-31,"weekly",2010-12-31,284,"influenza surveillance reports","2010-12","RSV",8,52,53,2010,365,357
2011-01-07,"weekly",2011-01-28,416,"influenza surveillance reports","2011-01","RSV",11,1,1,2011,7,364
2011-01-14,"weekly",2011-01-28,427,"influenza surveillance reports","2011-01","RSV",6,2,2,2011,14,371
2011-01-21,"weekly",2011-01-28,409,"influenza surveillance reports","2011-01","RSV",5,3,3,2011,21,378
2011-01-28,"weekly",2011-01-28,321,"influenza surveillance reports","2011-01","RSV",14,4,4,2011,28,385
2011-02-04,"weekly",2011-02-25,335,"influenza surveillance reports","2011-02","RSV",14,5,5,2011,35,392
2011-02-11,"weekly",2011-02-25,450,"influenza surveillance reports","2011-02","RSV",16,6,6,2011,42,399
2011-02-18,"weekly",2011-02-25,521,"influenza surveillance reports","2011-02","RSV",16,7,7,2011,49,406
2011-02-25,"weekly",2011-02-25,536,"influenza surveillance reports","2011-02","RSV",23,8,8,2011,56,413
2011-03-04,"weekly",2011-04-01,494,"influenza surveillance reports","2011-03","RSV",14,9,9,2011,63,420
2011-03-11,"weekly",2011-04-01,545,"influenza surveillance reports","2011-03","RSV",31,10,10,2011,70,427
