"category","date","index","label"
"stringency_index",2020-01-01,0,"stringency index"
"c1_school_closing",2020-01-01,0,"schools"
"c2_workplace_closing",2020-01-01,0,"workplace"
"c3_cancel_public_events",2020-01-01,0,"public events"
"c4_restrictions_on_gatherings",2020-01-01,0,"gatherings"
"c5_close_public_transport",2020-01-01,0,"public transport"
"c6_stay_at_home_requirements",2020-01-01,0,"stay-at-home"
"c7_movementrestrictions",2020-01-01,0,"internal movements"
"c8_internationaltravel",2020-01-01,0,"cross-border movements"
"stringency_index",2020-01-02,0,"stringency index"
"c1_school_closing",2020-01-02,0,"schools"
"c2_workplace_closing",2020-01-02,0,"workplace"
"c3_cancel_public_events",2020-01-02,0,"public events"
"c4_restrictions_on_gatherings",2020-01-02,0,"gatherings"
"c5_close_public_transport",2020-01-02,0,"public transport"
"c6_stay_at_home_requirements",2020-01-02,0,"stay-at-home"
"c7_movementrestrictions",2020-01-02,0,"internal movements"
"c8_internationaltravel",2020-01-02,0,"cross-border movements"
"stringency_index",2020-01-03,0,"stringency index"
"c1_school_closing",2020-01-03,0,"schools"
"c2_workplace_closing",2020-01-03,0,"workplace"
"c3_cancel_public_events",2020-01-03,0,"public events"
"c4_restrictions_on_gatherings",2020-01-03,0,"gatherings"
"c5_close_public_transport",2020-01-03,0,"public transport"
"c6_stay_at_home_requirements",2020-01-03,0,"stay-at-home"
"c7_movementrestrictions",2020-01-03,0,"internal movements"
"c8_internationaltravel",2020-01-03,0,"cross-border movements"
"stringency_index",2020-01-04,0,"stringency index"
"c1_school_closing",2020-01-04,0,"schools"
"c2_workplace_closing",2020-01-04,0,"workplace"
"c3_cancel_public_events",2020-01-04,0,"public events"
"c4_restrictions_on_gatherings",2020-01-04,0,"gatherings"
"c5_close_public_transport",2020-01-04,0,"public transport"
"c6_stay_at_home_requirements",2020-01-04,0,"stay-at-home"
"c7_movementrestrictions",2020-01-04,0,"internal movements"
"c8_internationaltravel",2020-01-04,0,"cross-border movements"
"stringency_index",2020-01-05,0,"stringency index"
"c1_school_closing",2020-01-05,0,"schools"
"c2_workplace_closing",2020-01-05,0,"workplace"
"c3_cancel_public_events",2020-01-05,0,"public events"
"c4_restrictions_on_gatherings",2020-01-05,0,"gatherings"
"c5_close_public_transport",2020-01-05,0,"public transport"
"c6_stay_at_home_requirements",2020-01-05,0,"stay-at-home"
"c7_movementrestrictions",2020-01-05,0,"internal movements"
"c8_internationaltravel",2020-01-05,0,"cross-border movements"
"stringency_index",2020-01-06,0,"stringency index"
"c1_school_closing",2020-01-06,0,"schools"
"c2_workplace_closing",2020-01-06,0,"workplace"
"c3_cancel_public_events",2020-01-06,0,"public events"
"c4_restrictions_on_gatherings",2020-01-06,0,"gatherings"
"c5_close_public_transport",2020-01-06,0,"public transport"
"c6_stay_at_home_requirements",2020-01-06,0,"stay-at-home"
"c7_movementrestrictions",2020-01-06,0,"internal movements"
"c8_internationaltravel",2020-01-06,0,"cross-border movements"
"stringency_index",2020-01-07,0,"stringency index"
"c1_school_closing",2020-01-07,0,"schools"
"c2_workplace_closing",2020-01-07,0,"workplace"
"c3_cancel_public_events",2020-01-07,0,"public events"
"c4_restrictions_on_gatherings",2020-01-07,0,"gatherings"
"c5_close_public_transport",2020-01-07,0,"public transport"
"c6_stay_at_home_requirements",2020-01-07,0,"stay-at-home"
"c7_movementrestrictions",2020-01-07,0,"internal movements"
"c8_internationaltravel",2020-01-07,0,"cross-border movements"
"stringency_index",2020-01-08,0,"stringency index"
"c1_school_closing",2020-01-08,0,"schools"
