ar1,ar2,ar3,replicate
32,40,114,1
32,54,124,1
38,45,110,1
35,45,109,1
37,49,107,1
38,48,115,1
37,45,114,1
40,53,104,1
38,44,132,1
33,47,111,1
38,45,120,2
36,40,122,2
35,45,107,2
35,48,134,2
40,48,108,2
32,44,115,2
35,39,111,2
41,51,113,2
38,38,123,2
36,36,116,2
35,43,129,3
34,50,117,3
32,49,120,3
37,49,108,3
37,45,127,3
35,44,139,3
31,42,121,3
34,45,126,3
31,48,120,3
44,45,109,3
37,41,115,4
35,48,145,4
29,40,120,4
31,47,137,4
36,42,143,4
39,42,126,4
37,44,125,4
37,54,110,4
29,47,131,4
35,42,122,4
46,42,122,5
41,47,110,5
38,41,128,5
38,38,130,5
38,45,117,5
35,42,111,5
33,48,128,5
42,48,132,5
39,42,129,5
36,42,110,5
41,45,117,6
40,43,120,6
41,47,110,6
38,47,131,6
46,48,115,6
34,45,133,6
36,50,136,6
40,48,113,6
34,51,124,6
36,49,117,6
38,45,130,7
37,52,120,7
34,39,123,7
33,40,119,7
40,39,137,7
39,43,114,7
35,43,133,7
36,42,115,7
33,44,124,7
33,51,123,7
40,47,105,8
38,50,122,8
37,39,142,8
42,47,129,8
38,49,137,8
38,44,110,8
37,46,120,8
38,49,119,8
39,53,128,8
33,46,131,8
37,46,132,9
39,44,133,9
41,41,112,9
35,47,138,9
38,42,120,9
32,56,130,9
34,42,137,9
38,44,112,9
40,49,121,9
35,46,132,9
35,46,107,10
39,52,132,10
37,37,98,10
34,46,118,10
40,46,117,10
40,39,119,10
42,37,121,10
33,41,110,10
40,40,118,10
35,46,110,10
35,42,127,11
39,41,122,11
35,38,124,11
40,41,126,11
36,45,132,11
41,47,133,11
41,46,115,11
37,51,133,11
33,51,139,11
37,50,129,11
37,46,121,12
33,37,124,12
45,45,125,12
39,45,131,12
36,46,113,12
33,56,109,12
32,47,135,12
40,46,118,12
32,45,130,12
37,47,125,12
36,43,118,13
33,37,126,13
34,41,115,13
38,43,120,13
40,43,125,13
35,46,133,13
35,47,113,13
39,44,111,13
31,39,130,13
28,40,130,13
37,42,104,14
35,40,117,14
42,42,121,14
38,41,125,14
33,38,109,14
41,44,110,14
42,42,127,14
37,43,120,14
40,40,119,14
31,48,106,14
40,40,126,15
40,44,132,15
39,49,123,15
39,43,131,15
41,43,122,15
37,47,128,15
33,44,119,15
34,46,119,15
37,47,124,15
37,38,120,15
35,41,114,16
35,40,127,16
39,39,107,16
29,42,142,16
30,44,118,16
34,43,132,16
36,43,140,16
38,42,111,16
40,37,129,16
38,40,133,16
37,40,123,17
41,42,126,17
30,48,112,17
34,38,126,17
30,47,113,17
35,57,121,17
38,42,129,17
36,38,125,17
34,43,135,17
37,42,114,17
33,45,137,18
37,35,113,18
33,50,118,18
37,41,130,18
33,42,132,18
36,48,134,18
37,54,133,18
36,45,119,18
30,46,110,18
36,53,121,18
29,44,133,19
37,44,123,19
38,51,126,19
35,41,128,19
37,49,123,19
35,43,119,19
30,51,117,19
42,46,118,19
33,52,137,19
34,48,119,19
31,38,119,20
37,54,114,20
32,48,122,20
37,42,130,20
36,48,122,20
42,41,131,20
37,48,117,20
31,41,110,20
42,38,124,20
33,48,131,20
34,45,131,21
35,51,128,21
40,38,137,21
40,43,111,21
35,43,109,21
29,44,121,21
37,44,111,21
30,48,130,21
36,36,131,21
35,43,112,21
36,44,114,22
35,44,123,22
36,38,106,22
37,52,115,22
38,48,121,22
34,49,126,22
44,42,129,22
39,50,123,22
39,47,114,22
36,41,117,22
36,40,129,23
41,35,134,23
33,48,134,23
40,44,132,23
33,38,121,23
36,39,124,23
33,47,126,23
40,41,108,23
37,46,132,23
42,48,139,23
38,44,127,24
36,31,101,24
32,50,121,24
33,48,117,24
33,43,110,24
39,46,137,24
34,47,124,24
38,40,125,24
34,49,122,24
29,45,123,24
43,45,129,25
40,49,152,25
40,45,127,25
34,46,129,25
35,53,131,25
33,51,127,25
35,50,117,25
38,51,119,25
38,46,126,25
42,51,130,25
30,47,126,26
37,44,127,26
30,43,116,26
37,44,112,26
35,39,118,26
39,44,119,26
34,46,122,26
31,43,118,26
33,55,129,26
35,47,126,26
38,49,131,27
39,46,112,27
37,41,121,27
38,48,117,27
36,44,110,27
30,44,126,27
35,45,106,27
36,45,133,27
37,53,124,27
34,43,121,27
28,48,121,28
37,40,117,28
44,46,121,28
37,41,112,28
31,41,111,28
37,54,120,28
40,40,129,28
34,40,119,28
40,41,112,28
38,44,122,28
33,43,114,29
35,44,110,29
42,45,119,29
36,46,125,29
35,40,123,29
36,46,104,29
37,51,123,29
31,41,113,29
40,49,126,29
41,39,127,29
33,52,113,30
35,44,128,30
41,35,109,30
34,52,122,30
39,53,118,30
37,43,110,30
39,52,133,30
38,47,107,30
38,47,123,30
40,47,123,30
39,53,127,31
41,38,117,31
37,40,134,31
36,46,123,31
38,45,130,31
38,44,117,31
36,47,129,31
35,46,143,31
48,39,110,31
35,54,126,31
36,47,126,32
42,48,135,32
35,42,116,32
35,45,138,32
36,50,132,32
35,48,128,32
36,50,154,32
43,45,116,32
41,47,131,32
38,47,127,32
35,55,118,33
38,45,114,33
31,36,125,33
37,51,105,33
43,35,122,33
40,49,119,33
36,45,116,33
33,47,114,33
41,44,108,33
38,45,139,33
37,44,99,34
38,42,115,34
30,47,131,34
36,43,109,34
33,39,124,34
36,47,127,34
39,41,105,34
36,42,131,34
36,42,125,34
41,42,131,34
39,45,114,35
34,46,131,35
31,44,111,35
36,47,113,35
32,44,118,35
42,43,121,35
33,44,123,35
34,50,120,35
38,42,111,35
33,51,119,35
39,43,117,36
36,51,119,36
36,36,128,36
37,45,120,36
41,44,130,36
35,49,128,36
30,42,129,36
39,55,124,36
40,41,127,36
43,41,121,36
32,44,123,37
42,37,139,37
34,51,113,37
41,51,122,37
32,46,127,37
32,49,124,37
37,47,116,37
38,51,128,37
36,49,131,37
40,42,117,37
36,44,101,38
36,45,128,38
40,41,121,38
34,52,117,38
35,41,118,38
39,45,128,38
39,43,108,38
38,46,119,38
34,44,144,38
34,46,120,38
41,42,105,39
37,45,129,39
34,42,111,39
38,44,117,39
34,42,121,39
34,45,117,39
33,44,118,39
36,43,114,39
34,45,113,39
42,48,126,39
41,44,128,40
33,47,137,40
40,46,118,40
33,43,124,40
45,48,126,40
32,49,120,40
32,53,122,40
38,47,123,40
39,37,117,40
38,46,130,40
34,43,118,41
37,46,131,41
41,44,117,41
41,43,126,41
39,42,117,41
39,48,118,41
41,40,128,41
34,48,117,41
43,44,129,41
35,48,137,41
36,40,126,42
30,49,119,42
38,45,111,42
43,34,120,42
35,46,136,42
39,40,112,42
35,49,120,42
33,44,123,42
33,44,118,42
33,40,125,42
33,45,111,43
36,50,123,43
40,46,110,43
28,49,120,43
34,53,126,43
40,41,130,43
44,44,110,43
37,39,119,43
33,43,120,43
29,40,113,43
38,45,111,44
39,41,133,44
33,44,102,44
33,45,125,44
38,45,113,44
35,45,110,44
30,54,120,44
30,43,128,44
33,44,117,44
40,48,124,44
34,41,103,45
33,53,110,45
30,46,114,45
35,46,112,45
34,50,117,45
37,49,120,45
28,48,121,45
38,51,125,45
41,52,118,45
35,47,123,45
38,41,104,46
42,46,126,46
34,49,116,46
33,39,116,46
34,47,136,46
31,44,139,46
41,43,125,46
31,44,125,46
34,45,115,46
31,44,111,46
36,45,138,47
34,49,122,47
33,42,119,47
42,54,110,47
30,49,123,47
35,43,108,47
39,38,117,47
43,41,117,47
40,50,133,47
32,55,145,47
41,53,128,48
33,41,122,48
43,43,119,48
36,37,132,48
35,41,101,48
41,45,120,48
34,48,112,48
35,46,107,48
34,50,120,48
41,40,128,48
36,46,125,49
38,34,124,49
38,45,106,49
39,47,120,49
36,41,113,49
33,49,105,49
34,47,134,49
38,46,125,49
37,45,109,49
33,50,133,49
41,50,126,50
38,46,103,50
37,46,117,50
34,42,128,50
38,50,114,50
34,45,104,50
36,49,121,50
38,44,124,50
38,47,117,50
35,36,124,50
34,42,124,51
36,45,106,51
37,37,133,51
38,44,120,51
39,49,127,51
40,39,121,51
39,48,135,51
32,41,124,51
29,50,137,51
38,45,128,51
30,41,118,52
31,40,120,52
36,50,123,52
40,39,128,52
36,39,122,52
32,43,133,52
38,40,119,52
32,41,129,52
38,44,121,52
37,47,108,52
43,36,122,53
34,43,115,53
35,44,121,53
36,42,119,53
35,46,130,53
35,38,142,53
33,42,110,53
41,44,127,53
33,30,126,53
39,45,103,53
35,52,138,54
39,43,128,54
38,45,111,54
38,39,122,54
38,48,130,54
36,46,130,54
36,48,126,54
40,48,138,54
35,45,123,54
36,43,117,54
35,50,115,55
35,45,125,55
41,47,136,55
37,37,128,55
36,46,115,55
32,49,106,55
37,40,116,55
33,46,112,55
38,37,136,55
35,47,138,55
39,45,117,56
35,49,119,56
35,47,120,56
44,54,126,56
35,46,124,56
39,49,104,56
41,40,121,56
42,47,129,56
39,39,122,56
37,44,140,56
35,43,128,57
38,47,133,57
39,42,129,57
37,40,120,57
36,43,134,57
29,42,139,57
29,49,125,57
35,46,125,57
35,40,115,57
35,49,117,57
41,41,107,58
39,43,129,58
38,46,128,58
39,42,131,58
35,43,112,58
40,54,144,58
31,38,105,58
38,45,124,58
37,45,141,58
39,44,112,58
34,46,128,59
41,38,108,59
36,45,114,59
37,49,132,59
40,39,119,59
43,50,117,59
40,47,116,59
37,37,120,59
40,43,124,59
39,49,121,59
40,48,124,60
37,41,133,60
34,49,133,60
37,51,123,60
33,50,123,60
32,49,138,60
34,51,132,60
30,34,122,60
37,46,122,60
37,39,133,60
32,36,132,61
37,51,96,61
34,42,110,61
44,46,139,61
38,49,136,61
40,49,122,61
32,53,124,61
36,49,127,61
33,43,123,61
35,47,132,61
34,45,138,62
42,43,129,62
38,46,123,62
38,53,141,62
37,38,131,62
29,50,119,62
35,49,139,62
35,44,115,62
39,51,131,62
37,41,117,62
40,48,131,63
38,32,112,63
30,40,129,63
37,43,115,63
39,48,109,63
36,45,112,63
39,37,129,63
29,42,121,63
38,44,124,63
34,41,119,63
32,50,127,64
36,37,109,64
36,38,126,64
31,49,123,64
35,40,114,64
37,33,120,64
42,43,127,64
33,47,135,64
39,54,134,64
44,41,110,64
37,44,123,65
38,45,111,65
31,46,140,65
33,47,135,65
31,51,118,65
35,39,110,65
34,49,110,65
38,42,121,65
34,36,127,65
31,39,139,65
34,44,127,66
37,49,136,66
35,38,123,66
40,40,129,66
39,45,119,66
40,51,120,66
34,49,121,66
36,44,134,66
44,40,133,66
40,44,120,66
37,40,115,67
32,41,120,67
36,40,127,67
34,44,125,67
38,41,124,67
33,40,137,67
39,43,127,67
33,45,119,67
32,43,141,67
38,36,137,67
35,54,119,68
42,50,117,68
34,36,132,68
36,48,112,68
37,49,137,68
33,42,129,68
39,42,129,68
37,42,108,68
35,47,135,68
29,48,139,68
42,45,130,69
38,36,137,69
37,46,118,69
36,49,122,69
35,45,139,69
36,46,136,69
34,43,125,69
35,49,126,69
27,41,115,69
36,43,121,69
43,44,131,70
40,48,113,70
43,42,125,70
35,43,127,70
36,46,118,70
38,44,142,70
35,47,134,70
35,42,128,70
43,40,116,70
38,42,125,70
38,44,126,71
39,54,136,71
34,49,127,71
40,40,140,71
29,48,130,71
33,43,134,71
39,49,118,71
41,49,131,71
31,41,131,71
36,47,125,71
40,45,128,72
34,44,128,72
32,45,123,72
38,50,126,72
33,38,128,72
38,46,116,72
30,43,129,72
38,44,120,72
32,46,117,72
33,49,123,72
39,44,114,73
35,48,135,73
39,36,123,73
35,47,136,73
31,43,126,73
31,46,119,73
35,46,122,73
40,38,142,73
43,54,118,73
36,44,137,73
34,45,135,74
41,42,106,74
27,43,140,74
37,41,131,74
32,47,123,74
37,42,133,74
37,44,118,74
36,46,142,74
37,43,134,74
30,51,128,74
40,44,120,75
37,38,142,75
36,41,124,75
31,43,129,75
33,43,116,75
36,42,131,75
30,42,143,75
37,36,132,75
33,42,126,75
39,40,107,75
40,47,130,76
38,50,136,76
43,44,110,76
35,47,129,76
43,41,129,76
39,42,109,76
31,48,118,76
33,43,117,76
37,45,126,76
40,44,122,76
36,44,106,77
34,38,119,77
30,43,119,77
35,43,129,77
38,53,119,77
31,42,107,77
32,47,120,77
35,37,119,77
37,44,137,77
34,43,124,77
38,52,135,78
33,51,123,78
38,42,98,78
41,45,119,78
42,52,125,78
36,47,122,78
39,48,120,78
36,40,123,78
36,49,120,78
38,50,131,78
28,47,128,79
32,46,104,79
38,40,131,79
41,55,132,79
25,45,111,79
36,46,120,79
37,44,131,79
42,45,129,79
41,45,106,79
36,42,128,79
40,44,114,80
35,49,121,80
38,44,123,80
42,37,122,80
39,42,109,80
34,54,106,80
41,48,107,80
33,41,126,80
34,52,127,80
33,40,124,80
38,37,133,81
35,41,111,81
33,48,130,81
38,47,119,81
35,48,119,81
40,44,121,81
34,42,128,81
40,49,122,81
39,45,117,81
33,48,109,81
34,49,148,82
38,48,137,82
34,42,126,82
40,46,139,82
43,47,148,82
38,51,117,82
42,51,133,82
36,49,134,82
37,55,117,82
40,43,116,82
31,39,119,83
35,37,109,83
37,52,130,83
32,44,127,83
37,50,121,83
34,44,120,83
40,35,120,83
41,42,116,83
34,40,139,83
33,44,112,83
34,39,109,84
32,41,125,84
34,50,119,84
33,43,118,84
34,50,133,84
34,44,136,84
39,36,105,84
37,41,127,84
36,44,111,84
39,47,122,84
30,41,115,85
30,39,101,85
30,43,120,85
34,37,117,85
37,49,114,85
33,41,123,85
39,42,116,85
31,49,119,85
29,41,119,85
29,45,119,85
25,43,114,86
31,33,109,86
36,44,108,86
32,53,126,86
29,40,113,86
32,45,128,86
31,45,132,86
34,49,118,86
34,39,126,86
32,46,124,86
36,43,135,87
38,49,123,87
35,55,137,87
40,55,138,87
38,55,118,87
38,50,125,87
34,47,134,87
37,46,132,87
36,49,129,87
41,47,142,87
34,44,125,88
33,50,123,88
31,44,118,88
38,50,109,88
33,50,122,88
39,43,120,88
37,44,108,88
42,51,108,88
37,48,127,88
35,47,125,88
34,43,125,89
32,44,127,89
34,43,130,89
39,47,116,89
42,49,134,89
38,41,115,89
33,51,136,89
39,43,125,89
33,40,125,89
43,47,111,89
35,46,127,90
31,43,122,90
35,38,110,90
37,52,134,90
37,45,105,90
37,45,100,90
36,44,117,90
41,45,109,90
35,47,131,90
40,48,106,90
41,44,126,91
37,31,106,91
34,47,115,91
37,42,133,91
37,52,122,91
31,47,138,91
40,41,123,91
35,45,125,91
40,36,124,91
41,51,115,91
36,46,119,92
38,41,112,92
27,44,125,92
33,51,126,92
37,50,122,92
37,48,117,92
40,44,116,92
38,47,125,92
38,49,119,92
30,32,111,92
44,37,123,93
34,35,133,93
39,45,129,93
41,42,144,93
38,40,121,93
35,47,120,93
36,49,128,93
35,48,138,93
35,48,128,93
33,45,129,93
32,49,104,94
33,42,125,94
33,50,115,94
37,52,130,94
42,45,120,94
42,47,120,94
33,49,116,94
39,47,122,94
37,42,121,94
37,40,117,94
34,38,106,95
41,47,130,95
25,42,131,95
31,48,117,95
29,51,144,95
33,43,134,95
31,43,134,95
35,51,136,95
30,50,121,95
42,50,130,95
44,44,116,96
38,38,134,96
37,49,117,96
32,45,135,96
31,47,110,96
38,45,127,96
40,46,120,96
37,37,124,96
38,43,122,96
36,48,121,96
38,43,107,97
34,54,116,97
38,48,126,97
34,39,125,97
38,41,103,97
36,41,138,97
34,42,132,97
42,44,125,97
44,47,123,97
34,48,117,97
34,52,118,98
36,45,125,98
36,53,120,98
37,37,106,98
37,41,113,98
32,40,117,98
38,51,121,98
34,49,145,98
31,39,129,98
36,44,113,98
42,38,136,99
41,39,120,99
37,49,127,99
38,49,137,99
38,40,145,99
38,46,132,99
35,45,118,99
37,42,126,99
38,49,133,99
29,51,146,99
40,43,111,100
39,48,126,100
36,35,117,100
38,39,108,100
25,42,122,100
37,54,124,100
34,37,109,100
33,39,129,100
36,42,109,100
35,41,122,100
40,37,128,101
37,50,134,101
41,34,119,101
39,52,134,101
32,42,132,101
32,46,133,101
35,49,129,101
35,46,132,101
35,49,131,101
42,53,131,101
42,48,118,102
37,52,125,102
36,47,131,102
33,45,120,102
32,43,122,102
36,45,129,102
46,49,122,102
35,42,111,102
40,39,118,102
