ar1,ar2,ar3,replicate
33,51,114,1
31,49,122,1
43,47,119,1
32,45,113,1
40,41,126,1
33,54,117,1
30,44,133,1
35,53,122,1
44,50,144,1
31,52,128,1
31,49,117,2
39,49,133,2
31,54,118,2
38,39,133,2
34,43,118,2
40,45,133,2
31,59,121,2
34,52,126,2
33,48,122,2
29,49,112,2
37,46,128,3
33,55,107,3
37,44,127,3
35,53,127,3
39,49,126,3
33,45,119,3
38,48,121,3
28,44,120,3
36,52,127,3
34,48,118,3
35,40,127,4
34,44,123,4
40,55,124,4
37,50,120,4
35,59,133,4
31,39,127,4
27,44,118,4
30,51,128,4
34,45,108,4
38,46,127,4
44,38,122,5
34,33,119,5
36,52,130,5
37,53,125,5
35,48,126,5
34,50,128,5
32,46,119,5
33,39,139,5
36,48,121,5
44,50,121,5
33,52,133,6
34,51,141,6
32,48,124,6
30,43,132,6
35,46,110,6
35,52,129,6
34,53,104,6
39,48,117,6
42,50,116,6
39,52,136,6
32,52,137,7
42,46,117,7
33,45,129,7
35,52,120,7
38,48,115,7
36,46,124,7
33,44,132,7
31,44,125,7
34,45,122,7
38,50,127,7
36,48,112,8
41,58,118,8
33,53,117,8
29,52,127,8
29,48,120,8
36,54,130,8
29,61,124,8
40,48,122,8
29,40,125,8
41,41,135,8
39,58,118,9
29,56,132,9
38,49,136,9
32,54,129,9
28,52,119,9
37,52,127,9
36,47,120,9
27,46,119,9
36,48,134,9
39,42,126,9
32,48,134,10
44,43,125,10
28,47,127,10
39,47,140,10
32,46,116,10
28,37,125,10
36,45,126,10
36,51,110,10
34,43,126,10
37,33,119,10
27,46,137,11
29,50,106,11
29,50,105,11
41,41,133,11
34,47,136,11
38,51,125,11
36,45,140,11
34,45,124,11
29,41,115,11
34,46,130,11
31,46,118,12
34,43,123,12
30,44,135,12
35,42,103,12
30,45,120,12
34,43,109,12
27,47,134,12
30,45,134,12
33,53,115,12
35,44,132,12
29,50,111,13
37,41,125,13
32,50,132,13
32,47,135,13
32,55,124,13
39,54,123,13
33,56,117,13
35,47,110,13
34,44,125,13
37,47,132,13
24,46,136,14
35,43,121,14
40,52,132,14
36,48,121,14
40,48,130,14
25,37,124,14
33,53,126,14
32,53,126,14
33,41,132,14
35,43,130,14
35,49,115,15
32,49,130,15
30,47,104,15
36,47,109,15
38,51,108,15
31,45,133,15
35,54,115,15
29,50,123,15
30,47,121,15
34,53,103,15
32,50,127,16
35,47,121,16
36,46,135,16
38,41,136,16
36,43,132,16
38,52,142,16
43,56,121,16
34,52,127,16
30,50,131,16
34,60,125,16
37,46,118,17
31,47,131,17
36,45,120,17
40,51,115,17
34,49,124,17
30,53,124,17
27,59,121,17
28,50,122,17
35,47,108,17
33,46,119,17
33,47,118,18
26,50,110,18
35,49,125,18
33,53,124,18
40,50,117,18
42,53,114,18
27,45,108,18
36,48,118,18
37,49,120,18
35,48,110,18
35,47,116,19
38,46,135,19
34,49,131,19
35,54,122,19
35,47,114,19
33,50,123,19
33,53,121,19
36,49,117,19
33,56,107,19
27,50,138,19
40,51,125,20
32,50,100,20
37,55,109,20
41,49,105,20
32,46,125,20
38,54,112,20
30,53,128,20
36,53,124,20
34,52,112,20
27,42,129,20
42,52,129,21
28,49,114,21
31,51,111,21
35,55,118,21
32,52,111,21
35,51,120,21
37,53,119,21
39,59,131,21
38,45,127,21
37,50,112,21
36,44,113,22
42,45,119,22
42,42,123,22
33,44,122,22
39,53,107,22
36,54,121,22
44,51,116,22
35,50,134,22
36,57,123,22
35,44,131,22
39,50,130,23
33,47,133,23
37,52,116,23
37,50,127,23
34,46,119,23
36,41,123,23
37,47,122,23
36,50,107,23
35,48,112,23
31,46,137,23
35,40,126,24
29,52,127,24
31,50,125,24
35,47,116,24
34,48,121,24
35,49,131,24
37,50,133,24
34,44,113,24
28,45,137,24
37,53,119,24
38,48,132,25
34,44,117,25
35,49,128,25
30,50,116,25
42,54,122,25
38,44,121,25
36,46,137,25
34,57,111,25
37,47,118,25
29,52,109,25
36,51,116,26
34,51,122,26
33,55,109,26
34,49,123,26
32,49,117,26
32,50,120,26
33,47,128,26
39,50,118,26
37,50,115,26
37,50,124,26
29,45,114,27
33,50,126,27
36,52,134,27
37,55,125,27
32,44,115,27
35,49,112,27
38,52,99,27
35,49,119,27
30,43,129,27
33,42,132,27
39,55,125,28
29,49,114,28
37,47,123,28
34,52,124,28
30,48,130,28
33,42,125,28
35,45,112,28
33,46,99,28
35,54,120,28
36,49,117,28
36,52,124,29
37,41,127,29
34,54,130,29
30,42,114,29
36,50,130,29
39,45,119,29
37,42,124,29
37,49,130,29
33,51,122,29
35,57,123,29
34,52,114,30
34,47,145,30
41,44,118,30
31,49,124,30
33,45,115,30
31,47,118,30
33,53,124,30
30,53,110,30
33,41,134,30
37,42,139,30
35,46,136,31
28,45,132,31
29,45,134,31
34,47,111,31
42,44,127,31
33,46,122,31
33,50,126,31
34,56,117,31
37,44,118,31
35,42,119,31
32,46,124,32
40,51,123,32
33,55,137,32
38,42,129,32
42,45,129,32
33,45,114,32
36,43,132,32
41,54,131,32
39,51,142,32
36,44,132,32
35,46,127,33
34,41,119,33
34,51,127,33
32,52,115,33
26,57,119,33
34,52,117,33
29,51,121,33
38,41,111,33
38,53,118,33
36,49,105,33
30,50,139,34
30,47,130,34
32,47,128,34
36,54,120,34
40,49,122,34
38,47,125,34
29,53,128,34
27,55,133,34
33,51,121,34
30,49,126,34
32,40,125,35
28,39,130,35
36,44,124,35
30,52,130,35
36,45,130,35
31,45,130,35
27,51,150,35
36,48,104,35
36,42,129,35
34,47,128,35
33,45,126,36
30,53,120,36
31,45,131,36
35,42,130,36
31,47,124,36
35,64,120,36
35,49,125,36
35,55,131,36
30,55,124,36
37,43,126,36
35,46,125,37
25,46,116,37
39,51,117,37
37,54,113,37
31,44,119,37
34,38,120,37
33,45,111,37
35,54,125,37
32,38,132,37
37,42,125,37
38,55,142,38
38,50,125,38
40,50,145,38
37,50,124,38
38,57,139,38
41,44,128,38
34,56,115,38
30,45,118,38
33,43,141,38
34,56,113,38
33,46,111,39
33,51,122,39
30,49,141,39
36,47,119,39
32,50,115,39
34,47,113,39
34,47,113,39
27,51,127,39
35,44,124,39
36,51,115,39
32,44,113,40
40,49,109,40
34,45,117,40
35,47,124,40
36,46,120,40
35,49,121,40
34,49,135,40
36,43,138,40
35,47,124,40
34,51,119,40
33,39,124,41
38,50,122,41
31,49,128,41
37,49,133,41
24,47,114,41
35,50,128,41
29,52,128,41
38,46,118,41
39,50,119,41
32,53,123,41
39,54,129,42
33,50,134,42
33,52,107,42
28,50,123,42
41,59,111,42
36,43,119,42
