time,inc0_low95CI,inc0_median,inc0_up95CI,inc1_low95CI,inc1_median,inc1_up95CI,inc2_low95CI,inc2_median,inc2_up95CI,inc3_low95CI,inc3_median,inc3_up95CI,nvacc_low95CI,nvacc_median,nvacc_up95CI,strategy,vaccswitch,coverage,vaccstart,duration
-6.0,65.46214118730276,69.65409427881241,74.51053787320852,62.79432953512296,66.92817756533623,71.23384958058595,60.09414323102683,64.35765515267849,68.21138851232827,1465.5974978350102,1572.3713817298412,1697.5198826983572,0.0,0.0,0.0,base,,,,
-5.0,65.92026406237855,70.15405576303601,75.07057887269184,63.21488595772534,67.39013174548745,71.72935146344825,60.505811635777356,64.78256074152887,68.6687720627524,1471.1608536697925,1578.7190854400396,1704.7677873037755,0.0,0.0,0.0,base,,,,
-4.0,66.40267591411248,70.67996310815215,75.65432866681367,63.6798366934061,67.85646150633693,72.23855232745409,60.93700872380286,65.22044104710221,69.16372089665383,1477.1734671972692,1585.9996475279331,1712.7481211908162,0.0,0.0,0.0,base,,,,
-3.0,66.93021098896861,71.22739137709141,76.26216575866565,64.16414213990792,68.3506199773401,72.79759395672008,61.388028513919565,65.68748929724097,69.68052969640121,1483.6388736650347,1593.9400318562984,1721.2831591486931,0.0,0.0,0.0,base,,,,
-2.0,67.47608355963602,71.79781014099717,76.8944885299541,64.6576535211876,68.86591605655849,73.38738761134445,61.85708537567407,66.15764612331986,70.21953543890268,1490.5610473394395,1602.366599649191,1730.3630084887147,0.0,0.0,0.0,base,,,,
-1.0,68.01859695147724,72.40492473728955,77.55550376083701,65.16784247122705,69.41158483363688,73.97520545143634,62.3571500829421,66.65589614957571,70.78109191441908,1497.9345991633832,1611.3068933933973,1739.985874786973,0.0,0.0,0.0,base,,,,
0.0,68.5838458920829,73.04094093106687,78.24291909113526,65.71364537030459,69.97369575127959,74.57793965507298,62.89005575273186,67.1817357186228,71.36561604719608,1505.7574326701463,1620.5272032916546,1750.522831082344,0.0,0.0,0.0,base,,,,
1.0,69.16983075235039,73.66971981152892,78.95631904639303,66.2868395710364,70.58075112476945,75.2058427345939,63.444525891635564,67.75484063476324,71.966279033944,1514.0503030203283,1630.0523177087307,1761.677813476324,0.0,0.0,0.0,base,,,,
2.0,69.78684231378138,74.32750691659749,79.69617935512214,66.88285502362996,71.20287472940981,75.8583343184553,63.99731559241191,68.3482093885541,72.56068821512163,1522.5526835635305,1640.217331841588,1773.3978267133236,0.0,0.0,0.0,base,,,,
3.0,70.4291846764274,75.02446379885077,80.46298101190477,67.47640008730814,71.84802350774407,76.53581827534363,64.55971352215856,68.9405171032995,73.19214309891686,1531.3987653814256,1650.8646477460861,1785.6905663408338,0.0,0.0,0.0,base,,,,
4.0,71.11030115112662,75.7473308853805,81.25727810086683,68.08169017601759,72.52278168126941,77.25315419267862,65.1435484460555,69.56499560922384,73.86321745738387,1540.7277149342,1662.0400426238775,1798.564714178443,0.0,0.0,0.0,base,,,,
5.0,71.81584667507559,76.50139988400042,82.07541733253747,68.69380051828921,73.22252006456256,78.00180574636906,65.73451092438772,70.19786866568029,74.54619177887216,1550.5460732407869,1673.7940672188997,1812.02792968899,0.0,0.0,0.0,base,,,,
6.0,72.53011805899442,77.2909005433321,82.90426789335906,69.31998157957568,73.91677553020418,78.7772296892479,66.31879424201324,70.87149102799594,75.26898992899805,1560.8592627890407,1686.3749031424522,1826.0905819967388,0.0,0.0,0.0,base,,,,
7.0,73.27308609765024,78.07505939155817,83.76199340894819,69.97007215386256,74.63225779682398,79.57989540286361,66.94137817053124,71.56274116784334,76.01750320922584,1572.031255608797,1699.6024960875511,1840.7610405258833,0.0,0.0,0.0,base,,,,
8.0,74.04258261378854,78.90597299300134,84.65098775494843,70.6688320895657,75.35789956711233,80.41032936023548,67.59830039981753,72.27078949473798,76.79220286086202,1583.8556313090025,1713.1167233735323,1856.0512241467834,0.0,0.0,0.0,base,,,,
9.0,74.83925698660315,79.75454907491803,85.5705830907449,71.39197851233185,76.15237648785114,81.2691760564223,68.27700076354668,73.00105952471495,77.58551286989822,1596.436984308064,1727.4884306937456,1871.977733707428,0.0,0.0,0.0,base,,,,
10.0,75.65955898668616,80.63009173609316,86.51385266287252,72.15888852737844,76.95677663758397,82.156877361238,69.01468897778541,73.77436028048396,78.40025449572131,1609.7569452129305,1742.1933758854866,1888.542011809349,0.0,0.0,0.0,base,,,,
11.0,76.49493411993608,81.54103653877974,87.48897264702245,72.96016226680949,77.79985277354717,83.05468093790114,69.777798190061,74.58334491588175,79.24253301387652,1623.274105168879,1757.4515390694141,1905.7573824502529,0.0,0.0,0.0,base,,,,
12.0,77.38129116194322,82.48564347065985,88.50096175931394,73.75654823584482,78.68010741099715,83.97996004391462,70.5558529779315,75.42679008841515,80.11392715349794,1637.3289198078214,1773.523645222187,1923.6354456670583,0.0,0.0,0.0,base,,,,
13.0,78.29649510458111,83.46640680544078,89.54531161533669,74.59270367687569,79.61880333721638,84.9355070241727,71.35013247076422,76.30905633606017,81.01483793910593,1651.9156726427377,1790.2478501945734,1942.1864495836198,0.0,0.0,0.0,base,,,,
14.0,79.23914989307522,84.49449693970382,90.62288260646164,75.48546638283878,80.57497269660234,85.92199858920648,72.16932052234188,77.22021320462227,81.9450880376622,1667.4464399576186,1807.608581468463,1960.7752743847668,0.0,0.0,0.0,base,,,,
15.0,80.20324880564586,85.5353671349585,91.73434040071443,76.4060005701147,81.53240354917943,86.94127240348607,73.01595779862255,78.13657919690013,82.9053441632539,1683.8756677389144,1825.4931350797415,1980.0686236187814,0.0,0.0,0.0,base,,,,
16.0,81.18133718175814,86.61632297933102,92.8802920137532,77.35626727435738,82.5218348428607,87.99390181154013,73.8906308955513,79.06441581621766,83.89615162145346,1700.9118220113219,1843.4948663264513,2000.380628234893,0.0,0.0,0.0,base,,,,
17.0,82.20416824324056,87.75244750455022,94.05713551137596,78.3154874351807,83.55989168025553,89.07960203262046,74.79402902945876,80.03505945764482,84.9572664655745,1718.569543749839,1862.4803871661425,2021.8173984639345,0.0,0.0,0.0,base,,,,
18.0,83.26974545456468,88.88278402388096,95.25920832054689,79.29089553216473,84.63905726186931,90.19909682646393,75.72681310372427,81.05730112455785,86.05206499379128,1736.8475137218834,1882.378289103508,2044.000360867381,0.0,0.0,0.0,base,,,,
19.0,84.36893597431481,90.05211090669036,96.49529936509207,80.29746447242796,85.73691703006625,91.35331980092451,76.68957381090149,82.06111697666347,87.16542476098985,1755.5693438358605,1903.310357272625,2066.945000285655,0.0,0.0,0.0,base,,,,
20.0,85.50271333437414,91.25505262985826,97.76883069276809,81.33598058102652,86.84786289557815,92.56371916374191,77.68308850554749,83.11735231243074,88.30458965040744,1774.854043327272,1924.6336706280708,2090.6709978975355,0.0,0.0,0.0,base,,,,
21.0,86.6718061263673,92.48964454606175,99.08059877138585,82.40722236074507,88.02348419837654,93.8106365182437,78.708056767378,84.2236064299941,89.45249759834259,1794.8033285215497,1946.646723344922,2115.1905170716345,0.0,0.0,0.0,base,,,,
22.0,87.87696489216759,93.79437788948417,100.43134925253689,83.51182508775965,89.22882580570877,95.08576653059572,79.76892580185086,85.35304949618876,90.63484504893422,1815.4199371680618,1969.4436704814434,2140.5220454990863,0.0,0.0,0.0,base,,,,
23.0,89.12782613504677,95.16001977398992,101.83725834218785,84.65011928630993,90.43992820940912,96.39033145811408,80.84251154530793,86.52859398536384,91.8527989874594,1836.7288886897265,1992.6812867969275,2166.6866022363306,0.0,0.0,0.0,base,,,,
24.0,90.4188352282159,96.51073780097067,103.30567990755662,85.82288391403854,91.69477665796876,97.74891759064049,81.94538205405698,87.75027446076274,93.13368540517986,1858.7465844772755,2017.4458973407745,2193.6971390262247,0.0,0.0,0.0,base,,,,
25.0,91.74884782182053,97.89841043017805,104.81701570507138,87.0314198463224,92.98549464531243,99.15089165782555,83.08212082022801,88.97403112985194,94.45204666499048,1881.2703314341604,2042.5833678990602,2221.575176332891,0.0,0.0,0.0,base,,,,
26.0,93.11909396061674,99.3386943154037,106.37479220870883,88.28664454221726,94.33746767602861,100.5945723642595,84.25660139331595,90.27436868846416,95.8090060465969,1903.8719008438288,2068.5271694660187,2250.3428155094384,0.0,0.0,0.0,base,,,,
27.0,94.53055737074465,100.81826507672668,107.9771522635594,89.60343550378457,95.77074499428272,102.08283673869445,85.4750131712295,91.58892836049199,97.20519090341404,1928.6401295900346,2094.7662713825703,2280.0142514392733,0.0,0.0,0.0,base,,,,
28.0,95.98395985951647,102.38901282474399,109.62584128482267,90.95819695005193,97.21036893501878,103.61385990818962,86.73016469264402,92.94736175984144,98.64148556254804,1954.1565142862498,2121.840085044503,2310.6140124484896,0.0,0.0,0.0,base,,,,
29.0,97.46001355936751,103.97726414166391,111.34084867453203,92.35222573764622,98.67064446769655,105.16672039879485,88.02289528744295,94.33208132721484,100.11908515915275,1979.953448483348,2150.27730832994,2342.165064954758,0.0,0.0,0.0,base,,,,
30.0,98.97239492349327,105.59368837624788,113.09969444423913,93.78858668562025,100.19462062232196,106.76789705362171,89.35356385847554,95.75439407676458,101.62762453174219,2006.394916408509,2180.3225729316473,2374.6832853958012,0.0,0.0,0.0,base,,,,
31.0,100.51998347844929,107.24398406781256,114.90790052497759,95.27712267776951,101.77957380190492,108.43021778967231,90.71644764188677,97.21535028703511,103.17104185316711,2033.6560664363205,2210.6864429861307,2408.200468674302,0.0,0.0,0.0,base,,,,
32.0,102.12178272632882,108.98575055226684,116.76770600583404,96.79290274558589,103.37180455960333,110.14690031791106,92.13016335256398,98.72008514404297,104.75824187835678,2061.7588618300856,2242.385464683175,2442.735998438299,0.0,0.0,0.0,base,,,,
33.0,103.7877232494764,110.75879725255072,118.68142999215051,98.34050366310403,105.01142916828394,111.91134738307446,93.59789146343246,100.28842081129551,106.38986950926483,2090.8544428817927,2274.5945749878883,2478.307222309709,0.0,0.0,0.0,base,,,,
34.0,105.5019530761987,112.54942246712744,120.64815168231725,99.92183494064957,106.69700149819255,113.727014147304,95.08478517616167,101.89450001530349,108.08690997203811,2120.8738106720148,2307.590507209301,2514.802747128904,0.0,0.0,0.0,base,,,,
35.0,107.26584198102356,114.35936081595719,122.66925969263538,101.54753371058032,108.41801339015365,115.59435815662145,96.65556761836633,103.5553443133831,109.83569839056581,2151.808123189211,2341.8195433169603,2552.3730550467967,0.0,0.0,0.0,base,,,,
36.0,109.06870488412679,116.27615747600794,124.74802712276578,103.21857113335281,110.2302396222949,117.51293449951335,98.25153851592913,105.29055581055582,111.65479505332186,2183.6797195836903,2376.69571454823,2591.048516303301,0.0,0.0,0.0,base,,,,
37.0,110.92205641856417,118.2569734994322,126.89543538056313,104.93599636144936,112.07313815504313,119.48412717282771,99.88353082379327,107.03828270174563,113.5409047271125,2216.4857080832126,2412.656473428011,2630.859657968581,0.0,0.0,0.0,base,,,,
38.0,112.83131040250882,120.26280818879604,129.095069849398,106.69485523859039,113.96868236921728,121.5028045608662,101.57498558955267,108.81714162044227,115.46188713144511,2250.2722461871804,2450.1141952872276,2671.8304291412232,0.0,0.0,0.0,base,,,,
39.0,114.79656154802069,122.36487113684416,131.34664593553168,108.51428752429783,115.92394525185227,123.5401236526668,103.33005566950888,110.63922719843686,117.41673660902306,2284.763178165257,2488.758260861039,2713.984058946371,0.0,0.0,0.0,base,,,,
40.0,116.81716105174273,124.5153389647603,133.63590011671184,110.38488901685923,117.91826542280614,125.63316571023314,105.13506657304242,112.51324330084026,119.45028498535976,2320.2286079637706,2528.4188212305307,2757.3553580753505,0.0,0.0,0.0,base,,,,
41.0,118.89487214246765,126.72884656302631,135.98260359950362,112.3025325877592,119.98038450628519,127.79409703165292,106.97088821250945,114.44527746737003,121.5393399191089,2356.734573163092,2568.912310823798,2801.9685865238307,0.0,0.0,0.0,base,,,,
42.0,121.03084619231522,128.9910136424005,138.40695070838555,114.26632704567164,122.09402010962367,130.02393060410395,108.85735178282485,116.40790390223265,123.68532890025526,2394.3041850306095,2610.317111939192,2847.8501883916556,0.0,0.0,0.0,base,,,,
43.0,123.22627500807866,131.31477128528059,140.90027226656676,116.28448205990716,124.2804102525115,132.33361692791803,110.79583447035402,118.45873979479074,125.88961468162015,2432.9516458898784,2653.4867412745953,2895.036877004802,0.0,0.0,0.0,base,,,,
44.0,125.4585173922591,133.71855165064335,143.45952511737121,118.3584812950343,126.54211386479437,134.70484985718502,112.78714907979592,120.53712948784232,128.1857686583884,2472.716562371701,2697.9845617711544,2943.55326589942,0.0,0.0,0.0,base,,,,
45.0,127.75111272372305,136.16774220205843,146.08596238596365,120.48741285065189,128.8160855807364,137.13958508577198,114.8338431305252,122.68707226403058,130.50710569573567,2513.62782490626,2743.9339170753956,2993.4181560702623,0.0,0.0,0.0,base,,,,
46.0,130.12536083860323,138.70022360794246,148.78292845403774,122.67438870603219,131.15297108888626,139.6428667861037,116.90462719229981,124.91841253824532,132.8704796038568,2555.705485597253,2790.755489781499,3044.611976259947,0.0,0.0,0.0,base,,,,
47.0,132.56452869940549,141.26311374641955,151.5525392282754,124.92108215065673,133.5682062935084,142.21177948899566,119.031139889732,127.21367339976132,135.3087661841884,2599.0976776346565,2838.9501822292805,3097.2177330359814,0.0,0.0,0.0,base,,,,
48.0,135.06999521758408,143.87046423368156,154.39374057510867,127.21906546289101,136.0510957352817,144.84748705802485,121.21565421568229,129.57089238800108,137.78521420555188,2644.076350776106,2888.486251220107,3151.2629073038697,0.0,0.0,0.0,base,,,,
49.0,137.64338265908881,146.5518382973969,157.38437087237835,129.57070325249805,138.5883780475706,147.55182103961704,123.46360868886113,131.99490853399038,140.33369698645546,2690.579389808327,2939.4689852148294,3206.788486599922,0.0,0.0,0.0,base,,,,
50.0,140.28540674159302,149.31466063857079,160.4519049800001,131.98576382249593,141.2053925599903,150.283814851474,125.79838128006085,134.4655521772802,142.94085372621194,2738.35937775597,2991.2152098566294,3264.161606595665,0.0,0.0,0.0,base,,,,
51.0,143.0245402123779,152.16188836470246,163.59822493223473,134.46530100889504,143.8863579928875,153.0835744448006,128.20312904510646,137.0588175226003,145.6230756331235,2786.871186697483,3044.6080582141876,3323.5429521128535,0.0,0.0,0.0,base,,,,
52.0,145.83812201255932,155.08599026873708,166.7618247896433,136.98763116691262,146.6212359033525,155.9542688798159,130.6887375837192,139.71458655782044,148.37378158261998,2836.343436469883,3099.0660954862833,3384.5410146459935,0.0,0.0,0.0,base,,,,
53.0,148.7268436472863,158.13236143440008,169.99642044315115,139.56737339971588,149.45638168230653,158.90859628506004,133.23356747850775,142.38834518566728,151.19419304160402,2887.158516202122,3154.9815118461847,3447.12395073995,0.0,0.0,0.0,base,,,,
54.0,151.69244917770848,161.21551969461143,173.31147141149268,142.21938022477553,152.39173704013228,161.9406227979809,135.83037387961522,145.14775944314897,154.08544426988811,2939.327803178877,3212.405745267868,3510.8987141005696,0.0,0.0,0.0,base,,,,
55.0,154.7369733109139,164.41675642505288,176.70864915931597,144.98482587626205,155.3556251693517,165.04804340964182,138.49270601458846,147.9583673607558,157.04933217829094,2993.1443027243017,3271.5167384296656,3576.8263975940645,0.0,0.0,0.0,base,,,,
